Introduction,Author 1,Author 2,Author 3,Author 4,Author 5,Journal,Year,Citations
,Matt,Evan,None,None,None,Journal of Public Economics,"Volume 224, August 2023, 104924",0
,Samuel,Matias,Michele,None,None,Journal of Public Economics,"Volume 224, August 2023, 104925",0
,Octave,Elisabeth,Ilan,None,None,Journal of Public Economics,"Volume 224, August 2023, 104929",0
,Satadru,Lucie,Tushar,Ross,None,Journal of Public Economics,"Volume 224, August 2023, 104907",0
,Asbjørn,Simon,Tigabu,Andreas,Vincent,Journal of Public Economics,"Volume 224, August 2023, 104939",0
,Donghyuk,None,None,None,None,Journal of Public Economics,"Volume 224, August 2023, 104941",0
,Steeve,David,Tanguy,None,None,Journal of Public Economics,"Volume 224, August 2023, 104940",0
,Saba,Alexander,None,None,None,Journal of Public Economics,"Volume 224, August 2023, 104918",0
,Esteban,Jacob,Basit,None,None,Journal of Public Economics,"Volume 224, August 2023, 104926",0
,Adrian,None,None,None,None,Journal of Public Economics,"Volume 224, August 2023, 104938",0
,Ithai,Corbin,None,None,None,Journal of Public Economics,"Volume 224, August 2023, 104942",0
,Piotr,Christian,None,None,None,Journal of Public Economics,"Volume 224, August 2023, 104946",0
,Ghazala,Nethra,Vijayendra,Slesh,None,Journal of Public Economics,"Volume 224, August 2023, 104922",0
,Hans,None,None,None,None,Journal of Public Economics,"Volume 224, August 2023, 104943",0
,Marco,Ragan,Clarence,None,None,Journal of Public Economics,"Volume 224, August 2023, 104945",0
,Katy,William,None,None,None,Journal of Public Economics,"Volume 224, August 2023, 104948",0
,None,None,None,None,None,Journal of Public Economics,"Volume 223, July 2023, 104933",0
,Joshua,Parag,Roman,None,None,Journal of Public Economics,"Volume 223, July 2023, 104892",1
,Vincent,Lore,None,None,None,Journal of Public Economics,"Volume 223, July 2023, 104900",0
,Juan,Bo,Qian,None,None,Journal of Public Economics,"Volume 223, July 2023, 104881",0
,Sumit,Yajie,Yu,Hongjia,None,Journal of Public Economics,"Volume 223, July 2023, 104904",0
,Mark,Irena,Sookyo,Gina,None,Journal of Public Economics,"Volume 223, July 2023, 104899",0
,Nicolas,Guillaume,None,None,None,Journal of Public Economics,"Volume 223, July 2023, 104903",0
,Mathias,Carla,None,None,None,Journal of Public Economics,"Volume 223, July 2023, 104909",0
,Damon,None,None,None,None,Journal of Public Economics,"Volume 223, July 2023, 104902",1
,Elena,Kathleen,Jacob,None,None,Journal of Public Economics,"Volume 223, July 2023, 104910",0
,Armin,Fabian,Hannah,Florian,None,Journal of Public Economics,"Volume 223, July 2023, 104908",1
,David,Edson,None,None,None,Journal of Public Economics,"Volume 223, July 2023, 104905",0
,Michel,Giovanni,Morgan,None,None,Journal of Public Economics,"Volume 223, July 2023, 104917",0
,None,None,None,None,None,Journal of Public Economics,"Volume 222, June 2023, 104914",0
,John,None,None,None,None,Journal of Public Economics,"Volume 222, June 2023, 104857",0
,Mike,Janet,None,None,None,Journal of Public Economics,"Volume 222, June 2023, 104844",0
,Urs,David,Jan,Vojtěch,None,Journal of Public Economics,"Volume 222, June 2023, 104866",1
,Stephen,None,None,None,None,Journal of Public Economics,"Volume 222, June 2023, 104874",0
,Andrew,Moyan,Katherine,Daniel,Daniel,Journal of Public Economics,"Volume 222, June 2023, 104877",0
,Hanming,Chang,Li-An,None,None,Journal of Public Economics,"Volume 222, June 2023, 104878",0
,Peng,None,None,None,None,Journal of Public Economics,"Volume 222, June 2023, 104861",0
,Yana,Melanie,None,None,None,Journal of Public Economics,"Volume 222, June 2023, 104876",0
,Albert,Vinzenz,None,None,None,Journal of Public Economics,"Volume 222, June 2023, 104882",0
,Daniel,Ravi,None,None,None,Journal of Public Economics,"Volume 222, June 2023, 104880",0
,Zoë,Ricardo,None,None,None,Journal of Public Economics,"Volume 222, June 2023, 104890",0
,Rudolf,Daniel,Matthias,None,None,Journal of Public Economics,"Volume 222, June 2023, 104891",1
,Guangyu,Chenran,Li-An,None,None,Journal of Public Economics,"Volume 222, June 2023, 104895",0
,Matthew,Katherine,None,None,None,Journal of Public Economics,"Volume 222, June 2023, 104879",0
,Julien,Elvire,Michaël,None,None,Journal of Public Economics,"Volume 222, June 2023, 104897",0
,Benjamin,None,None,None,None,Journal of Public Economics,"Volume 222, June 2023, 104901",1
,Gopi,Evan,None,None,None,Journal of Public Economics,"Volume 222, June 2023, 104889",0
,Benoit,None,None,None,None,Journal of Public Economics,"Volume 222, June 2023, 104898",0
,Philip,Daniel,Stan,None,None,Journal of Public Economics,"Volume 222, June 2023, 104906",0
,None,None,None,None,None,Journal of Public Economics,"Volume 221, May 2023, 104886",0
,Stefan,Björn,Han,None,None,Journal of Public Economics,"Volume 221, May 2023, 104845",0
,Gordon,Silke,None,None,None,Journal of Public Economics,"Volume 221, May 2023, 104858",0
,Cailin,Alisa,Sarah,None,None,Journal of Public Economics,"Volume 221, May 2023, 104859",1
,Klenio,Fernando,None,None,None,Journal of Public Economics,"Volume 221, May 2023, 104856",0
,Cecilia,Per,None,None,None,Journal of Public Economics,"Volume 221, May 2023, 104864",0
,Dahyeon,Ajay,Laura,None,None,Journal of Public Economics,"Volume 221, May 2023, 104855",0
,Abby,Darius,Neeraj,None,None,Journal of Public Economics,"Volume 221, May 2023, 104860",0
,Diane,Michael,None,None,None,Journal of Public Economics,"Volume 221, May 2023, 104821",0
,Otto,Bauke,None,None,None,Journal of Public Economics,"Volume 221, May 2023, 104875",0
,Nitin,Sutanuka,None,None,None,Journal of Public Economics,"Volume 221, May 2023, 104846",0
,David,Weihua,None,None,None,Journal of Public Economics,"Volume 221, May 2023, 104862",0
,Dominika,Lennard,None,None,None,Journal of Public Economics,"Volume 221, May 2023, 104865",0
,Macarena,Shanjukta,Sergio,None,None,Journal of Public Economics,"Volume 221, May 2023, 104863",0
,Seonghoon,Kanghyock,Wonjun,None,None,Journal of Public Economics,"Volume 221, May 2023, 104867",0
,None,None,None,None,None,Journal of Public Economics,"Volume 220, April 2023, 104871",0
,Zachary,None,None,None,None,Journal of Public Economics,"Volume 220, April 2023, 104839",0
,Andrea,Lily,Peter,None,None,Journal of Public Economics,"Volume 220, April 2023, 104834",0
,Albert,Bas,None,None,None,Journal of Public Economics,"Volume 220, April 2023, 104801",0
,Silvia,Jana,Daniela,Philipp,Matthias,Journal of Public Economics,"Volume 220, April 2023, 104837",0
,Ying,Maria,None,None,None,Journal of Public Economics,"Volume 220, April 2023, 104838",1
,Mette,Linea,Giovanni,Jacob,Iben,Journal of Public Economics,"Volume 220, April 2023, 104840",0
,Meera,Ajay,None,None,None,Journal of Public Economics,"Volume 220, April 2023, 104842",1
,Thiess,Boryana,Orlando,None,None,Journal of Public Economics,"Volume 220, April 2023, 104836",0
,Daniel,Lucas,Vitor,Breno,None,Journal of Public Economics,"Volume 220, April 2023, 104835",1
,Giulia,None,None,None,None,Journal of Public Economics,"Volume 220, April 2023, 104847",0
,Shuo,Xinyu,Unknown,Xun,None,Journal of Public Economics,"Volume 220, April 2023, 104843",0
,Pascaline,Radhika,None,None,None,Journal of Public Economics,"Volume 220, April 2023, 104841",1
,Carlos,Marcelo,None,None,None,Journal of Public Economics,"Volume 220, April 2023, 104854",1
,None,None,None,None,None,Journal of Public Economics,"Volume 219, March 2023, 104851",0
,David,Iuliia,None,None,None,Journal of Public Economics,"Volume 219, March 2023, 104818",2
,Thomas,Kirsten,Evelien,Bram,Xiao,Journal of Public Economics,"Volume 219, March 2023, 104813",0
,Zachary,Joseph,Resul,None,None,Journal of Public Economics,"Volume 219, March 2023, 104780",4
,Ana,Raissa,Prankur,None,None,Journal of Public Economics,"Volume 219, March 2023, 104820",0
,Daron,Will,None,None,None,Journal of Public Economics,"Volume 219, March 2023, 104802",1
,Gaurav,Priya,None,None,None,Journal of Public Economics,"Volume 219, March 2023, 104819",0
,Ursula,None,None,None,None,Journal of Public Economics,"Volume 219, March 2023, 104824",3
,Enrico,None,None,None,None,Journal of Public Economics,"Volume 219, March 2023, 104833",1
,Rainer,None,None,None,None,Journal of Public Economics,"Volume 219, March 2023, 104822",0
,Daniel,Ravi,None,None,None,Journal of Public Economics,"Volume 219, March 2023, 104823",0
,Jialin,Jianwei,Eric,None,None,Journal of Public Economics,"Volume 219, March 2023, 104825",0
,None,None,None,None,None,Journal of Public Economics,"Volume 218, February 2023, 104830",0
,Samir,None,None,None,None,Journal of Public Economics,"Volume 218, February 2023, 104751",0
,Justin,John,Alejandro,Marvin,Joaquin,Journal of Public Economics,"Volume 218, February 2023, 104779",4
,Alan,Gilbert,None,None,None,Journal of Public Economics,"Volume 218, February 2023, 104800",4
,Mazhar,None,None,None,None,Journal of Public Economics,"Volume 218, February 2023, 104783",1
,Michael,Saad,Ali,Muhammad,Arman,Journal of Public Economics,"Volume 218, February 2023, 104787",3
,Benoît,Gregory,None,None,None,Journal of Public Economics,"Volume 218, February 2023, 104803",0
,Kristiina,Tuomas,Roope,Hanna,None,Journal of Public Economics,"Volume 218, February 2023, 104804",2
,Alex,Alexander,Pedro,Inês,None,Journal of Public Economics,"Volume 218, February 2023, 104799",0
,Eckhard,Karl,None,None,None,Journal of Public Economics,"Volume 218, February 2023, 104811",1
,Shantayanan,Quy-Toan,None,None,None,Journal of Public Economics,"Volume 218, February 2023, 104816",2
,Jie,Jessica,None,None,None,Journal of Public Economics,"Volume 218, February 2023, 104796",0
,Alice,Elizabeth,Stephen,Michael,None,Journal of Public Economics,"Volume 218, February 2023, 104812",1
,Canice,None,None,None,None,Journal of Public Economics,"Volume 218, February 2023, 104817",0
,None,None,None,None,None,Journal of Public Economics,"Volume 217, January 2023, 104808",0
,Sarah,Jonathan,None,None,None,Journal of Public Economics,"Volume 217, January 2023, 104784",2
,Stephen,Dennis,Richard,None,None,Journal of Public Economics,"Volume 217, January 2023, 104782",0
,Danae,Kyle,None,None,None,Journal of Public Economics,"Volume 217, January 2023, 104786",6
,Matthew,Shantanu,David,None,None,Journal of Public Economics,"Volume 217, January 2023, 104777",0
,María,Cecilia,None,None,None,Journal of Public Economics,"Volume 217, January 2023, 104778",0
,Wouter,Arjan,Simon,Maarten,None,Journal of Public Economics,"Volume 217, January 2023, 104785",3
,Marcus,Lu,Anthony,None,None,Journal of Public Economics,"Volume 217, January 2023, 104781",2
,Justin,Hee,None,None,None,Journal of Public Economics,"Volume 217, January 2023, 104760",0
,Guilherme,Henrik,None,None,None,Journal of Public Economics,"Volume 217, January 2023, 104788",2
,Dominika,Li,None,None,None,Journal of Public Economics,"Volume 217, January 2023, 104776",2
,Marco,Roberto,None,None,None,Journal of Public Economics,"Volume 217, January 2023, 104797",3
,Unknown,Brian,Joseph,None,None,Journal of Public Economics,"Volume 217, January 2023, 104798",0
,None,None,None,None,None,Journal of Public Economics,"Volume 216, December 2022, 104793",0
,Pauline,None,None,None,None,Journal of Public Economics,"Volume 216, December 2022, 104746",1
,Erich,David,None,None,None,Journal of Public Economics,"Volume 216, December 2022, 104752",8
,Jinyeong,None,None,None,None,Journal of Public Economics,"Volume 216, December 2022, 104762",1
,Jimmy,Raymond,Ilyana,Kewei,None,Journal of Public Economics,"Volume 216, December 2022, 104761",5
,Bruno,Luiz,None,None,None,Journal of Public Economics,"Volume 216, December 2022, 104773",0
,Itzik,David,None,None,None,Journal of Public Economics,"Volume 216, December 2022, 104763",0
,Jean-Paul,Bary,None,None,None,Journal of Public Economics,"Volume 216, December 2022, 104764",2
,Hans,Henning,Ines,Jon,Ole,Journal of Public Economics,"Volume 216, December 2022, 104765",1
,None,None,None,None,None,Journal of Public Economics,"Volume 215, November 2022, 104769",0
,Gopi,Damon,Shanthi,None,None,Journal of Public Economics,"Volume 215, November 2022, 104734",0
,Surendrakumar,Dennis,Lowell,None,None,Journal of Public Economics,"Volume 215, November 2022, 104749",0
,Timo,None,None,None,None,Journal of Public Economics,"Volume 215, November 2022, 104748",4
,Jesse,Scott,Marcus,None,None,Journal of Public Economics,"Volume 215, November 2022, 104750",1
,Shaun,Emma,Konstantinos,Dimitrios,None,Journal of Public Economics,"Volume 215, November 2022, 104747",0
,Anikó,Dániel,László,None,None,Journal of Public Economics,"Volume 215, November 2022, 104728",5
,Analisa,None,None,None,None,Journal of Public Economics,"Volume 215, November 2022, 104733",2
,Arthur,Ricardo,None,None,None,Journal of Public Economics,"Volume 215, November 2022, 104753",2
,None,None,None,None,None,Journal of Public Economics,"Volume 214, October 2022, 104757",0
,Ritam,Duong,None,None,None,Journal of Public Economics,"Volume 214, October 2022, 104725",1
,Jochem,Marike,None,None,None,Journal of Public Economics,"Volume 214, October 2022, 104724",1
,Youngju,Nobuhiko,None,None,None,Journal of Public Economics,"Volume 214, October 2022, 104729",4
,Robin,Katherine,None,None,None,Journal of Public Economics,"Volume 214, October 2022, 104731",1
,Paul,None,None,None,None,Journal of Public Economics,"Volume 214, October 2022, 104689",0
,George,Mateusz,None,None,None,Journal of Public Economics,"Volume 214, October 2022, 104735",1
,Katarzyna,Yaxuan,Jing,None,None,Journal of Public Economics,"Volume 214, October 2022, 104742",5
,Unknown,Dongling,Qinghua,Siqi,None,Journal of Public Economics,"Volume 214, October 2022, 104730",3
,Juliana,None,None,None,None,Journal of Public Economics,"Volume 214, October 2022, 104732",1
,Timothy,Lata,Philip,None,None,Journal of Public Economics,"Volume 214, October 2022, 104744",1
,Panos,Arthur,None,None,None,Journal of Public Economics,"Volume 214, October 2022, 104727",1
,Tom,Unknown,Jörg,None,None,Journal of Public Economics,"Volume 214, October 2022, 104726",1
,James,None,None,None,None,Journal of Public Economics,"Volume 214, October 2022, 104745",0
,None,None,None,None,None,Journal of Public Economics,"Volume 213, September 2022, 104739",0
,Philine,Noémie,None,None,None,Journal of Public Economics,"Volume 213, September 2022, 104707",1
,Valentina,Michael,None,None,None,Journal of Public Economics,"Volume 213, September 2022, 104712",4
,Zachary,Edward,None,None,None,Journal of Public Economics,"Volume 213, September 2022, 104714",1
,Bernard,Alex,Letícia,Kosali,None,Journal of Public Economics,"Volume 213, September 2022, 104713",3
,Onur,Theodore,None,None,None,Journal of Public Economics,"Volume 213, September 2022, 104715",0
,William,Enda,LeAnn,None,None,Journal of Public Economics,"Volume 213, September 2022, 104716",4
,None,None,None,None,None,Journal of Public Economics,"Volume 212, August 2022, 104720",0
,Zach,Andrew,Jason,None,None,Journal of Public Economics,"Volume 212, August 2022, 104688",2
,Barton,None,None,None,None,Journal of Public Economics,"Volume 212, August 2022, 104687",3
,Andrés,Florencia,None,None,None,Journal of Public Economics,"Volume 212, August 2022, 104686",2
,Si,Yun,Zoe,None,None,Journal of Public Economics,"Volume 212, August 2022, 104692",5
,Thomas,Katharina,Gauthier,None,None,Journal of Public Economics,"Volume 212, August 2022, 104679",4
,Katrine,Jakob,None,None,None,Journal of Public Economics,"Volume 212, August 2022, 104691",2
,Howard,William,None,None,None,Journal of Public Economics,"Volume 212, August 2022, 104702",2
,Benjamin,Keaton,Caroline,None,None,Journal of Public Economics,"Volume 212, August 2022, 104693",2
,Laura,Elena,Nathan,None,None,Journal of Public Economics,"Volume 212, August 2022, 104690",1
,Jarkko,Aliisa,Tuomas,None,None,Journal of Public Economics,"Volume 212, August 2022, 104704",4
,Diane,Sarah,None,None,None,Journal of Public Economics,"Volume 212, August 2022, 104703",2
,Tareena,Kevin,Andrew,Joshua,None,Journal of Public Economics,"Volume 212, August 2022, 104710",10
,Niels,None,None,None,None,Journal of Public Economics,"Volume 212, August 2022, 104709",5
,Tobias,Nicolas,Philippe,Vitali,Peter,Journal of Public Economics,"Volume 212, August 2022, 104701",0
,Daniel,Joel,Trine,None,None,Journal of Public Economics,"Volume 212, August 2022, 104708",0
,Patrick,Tucker,None,None,None,Journal of Public Economics,"Volume 212, August 2022, 104711",1
,None,None,None,None,None,Journal of Public Economics,"Volume 211, July 2022, 104698",0
,Alexander,Hanyi,None,None,None,Journal of Public Economics,"Volume 211, July 2022, 104665",4
,David,David,Leland,Mita,Byron,Journal of Public Economics,"Volume 211, July 2022, 104664",20
,Alan,Thomas,None,None,None,Journal of Public Economics,"Volume 211, July 2022, 104676",0
,Pau,Agustin,Orestis,None,None,Journal of Public Economics,"Volume 211, July 2022, 104666",3
,Takanori,Michal,None,None,None,Journal of Public Economics,"Volume 211, July 2022, 104589",6
,Ethan,Jörg,Rebecca,None,None,Journal of Public Economics,"Volume 211, July 2022, 104668",2
,Víctor,None,None,None,None,Journal of Public Economics,"Volume 211, July 2022, 104662",0
,Davide,Louis-Jonas,David,Noam,Unknown,Journal of Public Economics,"Volume 211, July 2022, 104667",2
,Jonathan,Ohto,Terhi,None,None,Journal of Public Economics,"Volume 211, July 2022, 104677",6
,Kathrin,Markus,Martin,None,None,Journal of Public Economics,"Volume 211, July 2022, 104678",2
,None,None,None,None,None,Journal of Public Economics,"Volume 210, June 2022, 104683",0
,Tobias,Martin,Suraj,None,None,Journal of Public Economics,"Volume 210, June 2022, 104660",1
,Matthieu,Era,Salma,Frederico,None,Journal of Public Economics,"Volume 210, June 2022, 104661",14
,Mohammad,Adam,Christopher,Winnie,Seth,Journal of Public Economics,"Volume 210, June 2022, 104644",2
,Stefan,Ramona,None,None,None,Journal of Public Economics,"Volume 210, June 2022, 104663",2
,Nicolás,Evan,None,None,None,Journal of Public Economics,"Volume 210, June 2022, 104669",2
,None,None,None,None,None,Journal of Public Economics,"Volume 208, April 2022, 104654",0
,Woojin,None,None,None,None,Journal of Public Economics,"Volume 208, April 2022, 104609",3
,Ashani,None,None,None,None,Journal of Public Economics,"Volume 208, April 2022, 104608",2
,Wesley,Anatolii,None,None,None,Journal of Public Economics,"Volume 208, April 2022, 104601",8
,Martin,None,None,None,None,Journal of Public Economics,"Volume 208, April 2022, 104619",1
