Introduction,Author 1,Author 2,Author 3,Author 4,Author 5,Journal,Year,Citations,Gender_Author 1,Gender_Author 2,Gender_Author 3,Gender_Author 4,Gender_Author 5,Article_Gender
,Helen,Hangjian,Marije,None,None,Resource and Energy Economics,"Volume 71, February 2023, 101344",1,female,unknown,female,,,Mix
,Jorge,Kenneth,None,None,None,Resource and Energy Economics,"Volume 71, February 2023, 101345",0,male,male,,,,Male
,Tony,Atanu,None,None,None,Resource and Energy Economics,"Volume 71, February 2023, 101334",0,male,unknown,,,,Mix
,Xiaoyang,Muhammad,Elizabeth,Gregory,None,Resource and Energy Economics,"Volume 71, February 2023, 101335",0,unknown,male,female,male,,Mix
,Beat,Markus,None,None,None,Resource and Energy Economics,"Volume 71, February 2023, 101336",1,male,male,,,,Male
,None,None,None,None,None,Resource and Energy Economics,"Volume 70, November 2022, 101340",0,,,,,,Unknown
,Chandan,Jonn,David,None,None,Resource and Energy Economics,"Volume 70, November 2022, 101319",6,male,male,male,,,Male
,Jan-Niklas,Paul,None,None,None,Resource and Energy Economics,"Volume 70, November 2022, 101318",2,unknown,male,,,,Mix
,Manuel,John,None,None,None,Resource and Energy Economics,"Volume 70, November 2022, 101326",3,male,male,,,,Male
,Unknown,None,None,None,None,Resource and Energy Economics,"Volume 70, November 2022, 101327",0,unknown,,,,,Mix
,Ghina,Walid,None,None,None,Resource and Energy Economics,"Volume 70, November 2022, 101329",1,female,male,,,,Mix
,Philip,Aimable,None,None,None,Resource and Energy Economics,"Volume 70, November 2022, 101333",1,male,unknown,,,,Mix
,Alexander,None,None,None,None,Resource and Energy Economics,"Volume 70, November 2022, 101328",1,male,,,,,Male
,Jens,Thomas,Erik,None,None,Resource and Energy Economics,"Volume 70, November 2022, 101331",7,male,male,male,,,Male
,Elke,None,None,None,None,Resource and Energy Economics,"Volume 70, November 2022, 101332",2,female,,,,,Female
,Karsten,Nils,Jörn,None,None,Resource and Energy Economics,"Volume 70, November 2022, 101330",5,male,male,male,,,Male
,None,None,None,None,None,Resource and Energy Economics,"Volume 69, August 2022, 101323",0,,,,,,Unknown
,Lorenzo,Jan,Matthias,None,None,Resource and Energy Economics,"Volume 69, August 2022, 101313",2,male,male,male,,,Male
,Marion,Vincent,None,None,None,Resource and Energy Economics,"Volume 69, August 2022, 101316",0,female,male,,,,Mix
,Gøril,Knut,None,None,None,Resource and Energy Economics,"Volume 69, August 2022, 101314",3,female,male,,,,Mix
,May,Jens,Anne,None,None,Resource and Energy Economics,"Volume 69, August 2022, 101317",0,female,male,female,,,Mix
,Lesly,Paolo,Fabien,None,None,Resource and Energy Economics,"Volume 69, August 2022, 101301",0,female,male,male,,,Mix
,Pedro,Ozgun,Bruno,Tim,None,Resource and Energy Economics,"Volume 69, August 2022, 101302",0,male,unknown,male,male,,Mix
,Mads,Cathrine,Stef,None,None,Resource and Energy Economics,"Volume 69, August 2022, 101310",4,male,female,male,,,Mix
,Juin-Jen,Jhy-Hwa,Ming-Fang,None,None,Resource and Energy Economics,"Volume 69, August 2022, 101311",5,unknown,unknown,unknown,,,Mix
,Linus,Cameron,Fiona,Nicholas,None,Resource and Energy Economics,"Volume 69, August 2022, 101312",7,male,unknown,female,male,,Mix
,Nicolas,Michael,None,None,None,Resource and Energy Economics,"Volume 69, August 2022, 101315",7,male,male,,,,Male
,None,None,None,None,None,Resource and Energy Economics,"Volume 68, May 2022, 101306",0,,,,,,Unknown
,Hiroaki,Norimichi,Toshihiro,None,None,Resource and Energy Economics,"Volume 68, May 2022, 101280",0,male,unknown,male,,,Mix
,Jan,Mirjam,None,None,None,Resource and Energy Economics,"Volume 68, May 2022, 101293",2,male,female,,,,Mix
,Unknown,Unknown,Unknown,Unknown,Unknown,Resource and Energy Economics,"Volume 68, May 2022, 101284",1,unknown,unknown,unknown,unknown,unknown,Mix
,Yukiko,David,None,None,None,Resource and Energy Economics,"Volume 68, May 2022, 101295",0,female,male,,,,Mix
,Anna,Marco,Colin,None,None,Resource and Energy Economics,"Volume 68, May 2022, 101292",6,female,male,male,,,Mix
,Matthew,Joshua,Alan,None,None,Resource and Energy Economics,"Volume 68, May 2022, 101294",1,male,male,male,,,Male
,Paul,Francisco,Dallas,Ashkan,None,Resource and Energy Economics,"Volume 68, May 2022, 101296",9,male,male,unknown,unknown,,Mix
,Valeria,Corinne,Marie-Charlotte,Joachim,None,Resource and Energy Economics,"Volume 68, May 2022, 101298",2,female,female,unknown,male,,Mix
,Manuel,None,None,None,None,Resource and Energy Economics,"Volume 68, May 2022, 101297",0,male,,,,,Male
,David,Unknown,Sathya,None,None,Resource and Energy Economics,"Volume 68, May 2022, 101299",0,male,unknown,unknown,,,Mix
,Simon,None,None,None,None,Resource and Energy Economics,"Volume 68, May 2022, 101300",8,male,,,,,Male
,None,None,None,None,None,Resource and Energy Economics,"Volume 67, February 2022, 101288",0,,,,,,Unknown
,Pak-Sing,Ana,Félix,None,None,Resource and Energy Economics,"Volume 67, February 2022, 101267",1,unknown,female,male,,,Mix
,Hyoshin,Jeong-Yoo,None,None,None,Resource and Energy Economics,"Volume 67, February 2022, 101266",6,unknown,unknown,,,,Mix
,Yueming,Yi,Hiroyuki,Xingchi,Bo,Resource and Energy Economics,"Volume 67, February 2022, 101275",9,unknown,unknown,male,unknown,male,Mix
,Jon,None,None,None,None,Resource and Energy Economics,"Volume 67, February 2022, 101276",1,male,,,,,Male
,Yuelu,Levan,Haw,Jeffrey,Philip,Resource and Energy Economics,"Volume 67, February 2022, 101279",4,unknown,male,unknown,male,male,Mix
,Philippe,Gwenolé,Gabriela,None,None,Resource and Energy Economics,"Volume 67, February 2022, 101277",4,male,unknown,female,,,Mix
,Gilles,Etienne,None,None,None,Resource and Energy Economics,"Volume 67, February 2022, 101278",8,male,male,,,,Male
,Jin,Dongwei,Qigui,None,None,Resource and Energy Economics,"Volume 67, February 2022, 101283",5,female,unknown,unknown,,,Mix
,Yuta,None,None,None,None,Resource and Energy Economics,"Volume 67, February 2022, 101282",0,female,,,,,Female
,Lopamudra,Jay,None,None,None,Resource and Energy Economics,"Volume 67, February 2022, 101281",8,unknown,male,,,,Mix
,None,None,None,None,None,Resource and Energy Economics,"Volume 66, November 2021, 101271",0,,,,,,Unknown
,Gunther,Jochen,Jonathan,None,None,Resource and Energy Economics,"Volume 66, November 2021, 101248",4,male,male,male,,,Male
,Gabriel,Amer,Jason,None,None,Resource and Energy Economics,"Volume 66, November 2021, 101249",1,male,male,male,,,Male
,Guanghua,Lin,Xichan,None,None,Resource and Energy Economics,"Volume 66, November 2021, 101256",6,unknown,female,unknown,,,Mix
,Jing,Dunguo,None,None,None,Resource and Energy Economics,"Volume 66, November 2021, 101259",12,unknown,unknown,,,,Mix
,John,Ana,Felix,None,None,Resource and Energy Economics,"Volume 66, November 2021, 101258",4,male,female,male,,,Mix
,Bernard,None,None,None,None,Resource and Energy Economics,"Volume 66, November 2021, 101261",4,male,,,,,Male
,Mriduchhanda,Toshi,Hajime,Mari,Hide-Fumi,Resource and Energy Economics,"Volume 66, November 2021, 101262",5,unknown,unknown,male,female,unknown,Mix
,Wei,None,None,None,None,Resource and Energy Economics,"Volume 66, November 2021, 101263",11,unknown,,,,,Mix
,Tabaré,Francisco,Róger,Subhrendu,None,Resource and Energy Economics,"Volume 66, November 2021, 101264",2,unknown,male,unknown,unknown,,Mix
,Alejandra,Claudia,René,None,None,Resource and Energy Economics,"Volume 66, November 2021, 101265",8,female,female,male,,,Mix
,None,None,None,None,None,Resource and Energy Economics,"Volume 65, August 2021, 101253",0,,,,,,Unknown
,Jorge,Jiegen,None,None,None,Resource and Energy Economics,"Volume 65, August 2021, 101232",0,male,unknown,,,,Mix
,Christopher,Renato,None,None,None,Resource and Energy Economics,"Volume 65, August 2021, 101239",7,male,male,,,,Male
,Thorsten,Felix,None,None,None,Resource and Energy Economics,"Volume 65, August 2021, 101241",10,male,male,,,,Male
,Malte,Klaus,Patrick,Jürgen,None,Resource and Energy Economics,"Volume 65, August 2021, 101240",6,male,male,male,male,,Male
,Hiroshi,Shuichi,Yasunobu,None,None,Resource and Energy Economics,"Volume 65, August 2021, 101242",2,male,male,male,,,Male
,Hans,Marie-Catherine,None,None,None,Resource and Energy Economics,"Volume 65, August 2021, 101229",4,male,unknown,,,,Mix
,Arik,None,None,None,None,Resource and Energy Economics,"Volume 65, August 2021, 101243",8,male,,,,,Male
,Haowei,You,None,None,None,Resource and Energy Economics,"Volume 65, August 2021, 101245",2,unknown,unknown,,,,Mix
,Prachi,Sagnik,None,None,None,Resource and Energy Economics,"Volume 65, August 2021, 101244",9,unknown,unknown,,,,Mix
,Sara,Margaret,None,None,None,Resource and Energy Economics,"Volume 65, August 2021, 101246",4,female,female,,,,Female
,Unknown,Christopher,None,None,None,Resource and Energy Economics,"Volume 65, August 2021, 101247",0,unknown,male,,,,Mix
,None,None,None,None,None,Resource and Energy Economics,"Volume 64, May 2021, 101236",0,,,,,,Unknown
,Unknown,Xiaoli,None,None,None,Resource and Energy Economics,"Volume 64, May 2021, 101215",1,unknown,unknown,,,,Mix
,Bruno,Andrew,None,None,None,Resource and Energy Economics,"Volume 64, May 2021, 101218",3,male,male,,,,Male
,Andrew,Elaine,Lala,Lujia,None,Resource and Energy Economics,"Volume 64, May 2021, 101220",14,male,female,female,unknown,,Mix
,Mona,Susana,None,None,None,Resource and Energy Economics,"Volume 64, May 2021, 101213",7,female,female,,,,Female
,Claudio,Eugenio,Massimo,Noemi,None,Resource and Energy Economics,"Volume 64, May 2021, 101221",8,male,male,male,female,,Mix
,Fredrik,Mitesh,Elina,Peter,None,Resource and Energy Economics,"Volume 64, May 2021, 101216",16,male,unknown,female,male,,Mix
,Ram,Chandra,None,None,None,Resource and Energy Economics,"Volume 64, May 2021, 101219",0,male,unknown,,,,Mix
,Jasper,Moritz,Nick,None,None,Resource and Energy Economics,"Volume 64, May 2021, 101217",4,male,male,male,,,Male
,Ghislaine,Mehdi,Bruno,Sylvain,None,Resource and Energy Economics,"Volume 64, May 2021, 101231",13,female,male,male,male,,Mix
,None,None,None,None,None,Resource and Energy Economics,"Volume 63, February 2021, 101226",0,,,,,,Unknown
,David,Shanjun,Kathleen,Christian,None,Resource and Energy Economics,"Volume 63, February 2021, 101190",0,male,unknown,female,male,,Mix
,Xiaoyang,Gregory,None,None,None,Resource and Energy Economics,"Volume 63, February 2021, 101123",2,unknown,male,,,,Mix
,Jordan,Mani,Dale,Chris,Matthew,Resource and Energy Economics,"Volume 63, February 2021, 101143",8,male,unknown,unknown,unknown,male,Mix
,Ernst,Unknown,None,None,None,Resource and Energy Economics,"Volume 63, February 2021, 101147",3,male,unknown,,,,Mix
,Shang,Leah,Kent,None,None,Resource and Energy Economics,"Volume 63, February 2021, 101142",5,unknown,female,male,,,Mix
,Tongzhe,Jacob,Kent,Paul,None,Resource and Energy Economics,"Volume 63, February 2021, 101107",7,unknown,male,male,male,,Mix
,Dong,Richard,None,None,None,Resource and Energy Economics,"Volume 63, February 2021, 101108",7,unknown,male,,,,Mix
,Urs,Simeon,Sabrina,None,None,Resource and Energy Economics,"Volume 63, February 2021, 101202",17,male,male,female,,,Mix
,Mathias,None,None,None,None,Resource and Energy Economics,"Volume 63, February 2021, 101204",0,male,,,,,Male
,Yiwei,Qing,None,None,None,Resource and Energy Economics,"Volume 63, February 2021, 101211",8,unknown,unknown,,,,Mix
,Unknown,Christopher,None,None,None,Resource and Energy Economics,"Volume 63, February 2021, 101212",6,unknown,male,,,,Mix
,Oliver,Kai,Michael,None,None,Resource and Energy Economics,"Volume 63, February 2021, 101214",9,male,male,male,,,Male
,None,None,None,None,None,Resource and Energy Economics,"Volume 62, November 2020, 101208",0,,,,,,Unknown
,Rintaro,Payal,None,None,None,Resource and Energy Economics,"Volume 62, November 2020, 101186",11,unknown,unknown,,,,Mix
,Petyo,Matthieu,Magnus,None,None,Resource and Energy Economics,"Volume 62, November 2020, 101182",6,male,male,male,,,Male
,Juan,Magdalena,José,None,None,Resource and Energy Economics,"Volume 62, November 2020, 101185",5,male,female,male,,,Mix
,Ashwini,Jay,Andrew,None,None,Resource and Energy Economics,"Volume 62, November 2020, 101188",6,unknown,male,male,,,Mix
,Seung-Gyu,Sungwan,None,None,None,Resource and Energy Economics,"Volume 62, November 2020, 101187",4,unknown,unknown,,,,Mix
,Johannes,Grischa,None,None,None,Resource and Energy Economics,"Volume 62, November 2020, 101189",10,male,male,,,,Male
,Tie-Ying,Chien-Chiang,None,None,None,Resource and Energy Economics,"Volume 62, November 2020, 101199",38,unknown,unknown,,,,Mix
,Mouhcine,Alexander,None,None,None,Resource and Energy Economics,"Volume 62, November 2020, 101200",4,unknown,male,,,,Mix
,Mehdi,Jerrod,None,None,None,Resource and Energy Economics,"Volume 62, November 2020, 101201",16,male,male,,,,Male
,Sanval,Steven,Ariel,None,None,Resource and Energy Economics,"Volume 62, November 2020, 101203",1,unknown,male,male,,,Mix
,None,None,None,None,None,Resource and Energy Economics,"Volume 61, August 2020, 101194",0,,,,,,Unknown
,Farhad,Frank,Dean,None,None,Resource and Energy Economics,"Volume 61, August 2020, 101160",1,male,male,male,,,Male
,Julie,None,None,None,None,Resource and Energy Economics,"Volume 61, August 2020, 101161",3,female,,,,,Female
,Lars,None,None,None,None,Resource and Energy Economics,"Volume 61, August 2020, 101166",1,male,,,,,Male
,Elisabetta,Luisa,None,None,None,Resource and Energy Economics,"Volume 61, August 2020, 101162",11,female,female,,,,Female
,Qingling,Chenchen,Feng,None,None,Resource and Energy Economics,"Volume 61, August 2020, 101165",19,unknown,unknown,unknown,,,Mix
,Eric,Dong-Hun,Reza,None,None,Resource and Energy Economics,"Volume 61, August 2020, 101174",2,male,male,unknown,,,Mix
,Liang,None,None,None,None,Resource and Energy Economics,"Volume 61, August 2020, 101167",0,unknown,,,,,Mix
,Marcelo,Michael,None,None,None,Resource and Energy Economics,"Volume 61, August 2020, 101176",5,male,male,,,,Male
,Ricardo,None,None,None,None,Resource and Energy Economics,"Volume 61, August 2020, 101175",10,male,,,,,Male
,James,Per,Swati,None,None,Resource and Energy Economics,"Volume 61, August 2020, 101180",22,male,male,female,,,Mix
,Addisu,Eric,None,None,None,Resource and Energy Economics,"Volume 61, August 2020, 101183",34,unknown,male,,,,Mix
,Erlend,Lars,Thomas,None,None,Resource and Energy Economics,"Volume 61, August 2020, 101178",11,male,male,male,,,Male
,Tobias,Rolf,None,None,None,Resource and Energy Economics,"Volume 61, August 2020, 101181",3,male,male,,,,Male
,Bongseok,None,None,None,None,Resource and Energy Economics,"Volume 61, August 2020, 101184",12,unknown,,,,,Mix
,Bouwe,Andries,None,None,None,Resource and Energy Economics,"Volume 61, August 2020, 101179",1,unknown,male,,,,Mix
,None,None,None,None,None,Resource and Energy Economics,"Volume 60, May 2020, 101171",0,,,,,,Unknown
,Robert,Daniel,Peter,Kurt,None,Resource and Energy Economics,"Volume 60, May 2020, 101148",1,male,male,male,male,,Male
,Mónica,Carlos,Walter,None,None,Resource and Energy Economics,"Volume 60, May 2020, 101125",17,female,male,male,,,Mix
,Ayse,None,None,None,None,Resource and Energy Economics,"Volume 60, May 2020, 101141",6,unknown,,,,,Mix
,Teng,Kenji,None,None,None,Resource and Energy Economics,"Volume 60, May 2020, 101151",3,unknown,male,,,,Mix
,Yi,None,None,None,None,Resource and Energy Economics,"Volume 60, May 2020, 101149",18,unknown,,,,,Mix
,Snorre,Erik,Jon,None,None,Resource and Energy Economics,"Volume 60, May 2020, 101153",9,male,male,male,,,Male
,Louinord,Obafèmi,None,None,None,Resource and Energy Economics,"Volume 60, May 2020, 101152",18,unknown,unknown,,,,Mix
,Valeria,Eva-Maria,None,None,None,Resource and Energy Economics,"Volume 60, May 2020, 101150",3,female,unknown,,,,Mix
,Rolf,Mads,Michael,None,None,Resource and Energy Economics,"Volume 60, May 2020, 101132",5,male,male,male,,,Male
,Ivana,Roy,Danny,None,None,Resource and Energy Economics,"Volume 60, May 2020, 101164",4,female,male,male,,,Mix
,Charles,Neil,None,None,None,Resource and Energy Economics,"Volume 60, May 2020, 101163",5,male,male,,,,Male
,None,None,None,None,None,Resource and Energy Economics,"Volume 59, February 2020, 101157",0,,,,,,Unknown
,Michael,Raoul,Pedro,None,None,Resource and Energy Economics,"Volume 59, February 2020, 101122",5,male,male,male,,,Male
,Maria,None,None,None,None,Resource and Energy Economics,"Volume 59, February 2020, 101130",9,female,,,,,Female
,Hongjin,Yanxiang,None,None,None,Resource and Energy Economics,"Volume 59, February 2020, 101124",12,unknown,unknown,,,,Mix
,Pauli,None,None,None,None,Resource and Energy Economics,"Volume 59, February 2020, 101126",11,male,,,,,Male
,Michele,Lorenzo,Emilia,None,None,Resource and Energy Economics,"Volume 59, February 2020, 101111",25,female,male,female,,,Mix
,Adrien,Mouez,Francesco,None,None,Resource and Energy Economics,"Volume 59, February 2020, 101131",15,male,unknown,male,,,Mix
,Mani,Nicholas,Timothy,Taro,None,Resource and Energy Economics,"Volume 59, February 2020, 101129",14,unknown,male,male,male,,Mix
,Peter,None,None,None,None,Resource and Energy Economics,"Volume 59, February 2020, 101117",6,male,,,,,Male
,David,Akshaya,Edson,None,None,Resource and Energy Economics,"Volume 59, February 2020, 101127",8,male,unknown,male,,,Mix
,Li-Jing,Felix,Yun-Fei,Yi-Ming,Qiao-Mei,Resource and Energy Economics,"Volume 59, February 2020, 101144",42,unknown,male,unknown,unknown,unknown,Mix
,Bruno,None,None,None,None,Resource and Energy Economics,"Volume 59, February 2020, 101128",3,male,,,,,Male
,Christopher,Sittidaj,Kimberly,None,None,Resource and Energy Economics,"Volume 59, February 2020, 101146",6,male,unknown,unknown,,,Mix
,None,None,None,None,None,Resource and Energy Economics,"Volume 58, November 2019, 101136",0,,,,,,Unknown
,None,None,None,None,None,Resource and Energy Economics,"Volume 58, November 2019, 101139",0,,,,,,Unknown
