Volume,Issue,Link,Title,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Intro_check
5,1,https://link.springer.com/article/10.1023/A:1009830421147,A Cross-Country Empirical Investigation of the Aggregate Production Function Specification,John Duffy,Chris Papageorgiou,,Male,,,Male,,0
5,2,https://link.springer.com/article/10.1023/A:1009882419420,Growth and Trade: The North Can Lose,Antonio Spilimbergo,,,Male,,,Male,,0
5,2,https://link.springer.com/article/10.1023/A:1009885203490,Do Business Cycles Cast Long Shadows? Short-Run Persistence and Economic Growth,Antonio Fatas,,,Male,,,Male,,0
5,2,https://link.springer.com/article/10.1023/A:1009837320328,External Economies in Procyclical Productivity: How Important Are They?,Tomas Lindström,,,Male,,,Male,,0
5,2,https://link.springer.com/article/10.1023/A:1009889321237,Schumpeterian Entrepreneurs Meet Engel's Law: The Impact of Inequality on Innovation-Driven Growth,Josef Zweimüller,,,Male,,,Male,,0
5,3,https://link.springer.com/article/10.1023/A:1009893417085,Measuring Aggregate Human Capital,Casey B. Mulligan,Xavier Sala-I-Martin,,,Male,,Male,,0
5,3,https://link.springer.com/article/10.1023/A:1009829601155,Knowledge as a Set in Idea Space: An Epistemological View on Growth,Ola Olsson,,,Male,,,Male,,0
5,3,https://link.springer.com/article/10.1023/A:1009881717993,The Long-Run Growth Effects of R&D Subsidies,Paul S. Segerstrom,,,Male,,,Male,,0
5,4,https://link.springer.com/article/10.1023/A:1026574718420,"The Internal Organization of the Firm, Transaction Costs, and Macroeconomic Growth",David Martimort,Thierry Verdier,,Male,Male,,Male,,0
5,4,https://link.springer.com/article/10.1023/A:1026599402490,The Role of Financial Development in Growth and Investment,Jess Benhabib,Mark M. Spiegel,,Male,Male,,Male,,0
5,4,https://link.springer.com/article/10.1023/A:1026551519329,"The Tyranny of Concepts: CUDIE (Cumulated, Depreciated, Investment Effort) Is Not Capital",Lant Pritchett,,,Male,,,Male,,0
6,1,https://link.springer.com/article/10.1023/A:1009876310544,"Global Income Divergence, Trade, and Industrialization: The Geography of Growth Take-Offs",Richard E. Baldwin,Philippe Martin,Gianmarco I. P. Ottaviano,Male,Male,Male,Male,,0
6,1,https://link.springer.com/article/10.1023/A:1009846027382,"Linkages, Thresholds, and Development",Morgan Kelly,,,,,,Unknown,,0
6,1,https://link.springer.com/article/10.1023/A:1009898011453,Inventing or Spying? Implications for Growth,Guido Cozzi,,,Male,,,Male,,0
6,2,https://link.springer.com/article/10.1023/A:1011326806631,"Housing, Land Prices, and Growth",Angus Deaton,Guy Laroque,,Male,Male,,Male,,0
6,2,https://link.springer.com/article/10.1023/A:1011326523470,Income Distribution and the Demand Constraint,Anandi Mani,,,Female,,,Female,,0
6,2,https://link.springer.com/article/10.1023/A:1011378507540,The Lost Decades: Developing Countries' Stagnation in Spite of Policy Reform 1980–1998,William Easterly,,,Male,,,Male,,0
6,3,https://link.springer.com/article/10.1023/A:1011398431524,Climate and Scale in Economic Growth,William A. Masters,Margaret S. McMillan,,Male,Female,,Mix,,0
6,3,https://link.springer.com/article/10.1023/A:1011343715594,Is Declining Productivity Inevitable?,Carl-Johan Dalgaard,Claus Thustrup Kreiner,,Male,Male,,Male,,0
6,3,https://link.springer.com/article/10.1023/A:1011395732433,Public Capital and Economic Growth: A Convergence Approach,Etsuro Shioji,,,Male,,,Male,,0
6,3,https://link.springer.com/article/10.1023/A:1011347816503,Measures of Human Capital and Nonlinearities in Economic Growth,Pantelis Kalaitzidakis,Theofanis P. Mamuneas,Thanasis Stengos,Male,Male,Male,Male,,0
6,4,https://link.springer.com/article/10.1023/A:1012761811439,The Microeconomics of an R&D-Based Model of Endogenous Growth,Peter Thompson,,,Male,,,Male,,0
6,4,https://link.springer.com/article/10.1023/A:1012782212348,"Precautionary Demand for Education, Inequality, and Technological Progress",Eric D. Gould,Omer Moav,Bruce A. Weinberg,Male,Male,Male,Male,,0
6,4,https://link.springer.com/article/10.1023/A:1012786330095,The Middle Class Consensus and Economic Development,William Easterly,,,Male,,,Male,,0
6,4,https://link.springer.com/article/10.1023/A:1012742531003,Agricultural Productivity Growth and Escape from the Malthusian Trap,Tomas Kögel,Alexia Prskawetz,,Male,Female,,Mix,,0
7,1,https://link.springer.com/article/10.1023/A:1013461025733,Trade and the Transmission of Technology,Wolfgang Keller,,,Male,,,Male,,0
7,1,https://link.springer.com/article/10.1023/A:1013414509803,Income Inequality and Economic Growth: Evidence from American Data,Ugo Panizza,,,Male,,,Male,,0
7,1,https://link.springer.com/article/10.1023/A:1013466526642,Explaining Growth: A Contest Between Models,Michael Bleaney,Akira Nishiyama,,Male,,,Male,,0
7,1,https://link.springer.com/article/10.1023/A:1013418610712,How Robust is the Growth-Openness Connection? Historical Evidence,Athanasios Vamvakidis,,,Male,,,Male,,0
7,2,https://link.springer.com/article/10.1023/A:1015633528122,Twin Engines of Growth: Skills and Technology as Equal Partners in Balanced Growth,Huw Lloyd-Ellis,Joanne Roberts,,Male,Female,,Mix,,0
7,2,https://link.springer.com/article/10.1023/A:1015672012193,"The Division of Labor, Inequality and Growth",Arthur Fishman,Avi Simhon,,Male,Male,,Male,,0
7,2,https://link.springer.com/article/10.1023/A:1015624129031,"The Skill Premium, Technological Change and Appropriability",Richard Nahuis,Sjak Smulders*,,Male,Male,,Male,,0
7,2,https://link.springer.com/article/10.1023/A:1015676113101,Economic Distance and Cross-Country Spillovers,Timothy G. Conley,Ethan Ligon,,Male,Male,,Male,,0
7,3,https://link.springer.com/article/10.1023/A:1020139631000,Growth is Good for the Poor,David Dollar,Aart Kraay,,Male,Male,,Male,,0
7,3,https://link.springer.com/article/10.1023/A:1020154031908,Income Distribution Dynamics with Endogenous Fertility,Michael Kremer,Daniel L. Chen,,Male,Male,,Male,,0
7,3,https://link.springer.com/article/10.1023/A:1020158115979,Creative Destruction and the Rise of Inequality,Rodrigue Mendez,,,Male,,,Male,,0
7,3,https://link.springer.com/article/10.1023/A:1020110200049,Pursuing Problems in Growth,Louise C. Keely,,,Female,,,Female,,0
7,4,https://link.springer.com/article/10.1023/A:1020875717066,General Purpose Technology and Wage Inequality,Philippe Aghion,Peter Howitt,Giovanni L. Violante†,Male,Male,Male,Male,,0
7,4,https://link.springer.com/article/10.1023/A:1020827801137,States and Markets: The Advantage of an Early Start,Valerie Bockstette,Areendam Chanda,Louis Putterman,Female,,Male,Mix,,0
7,4,https://link.springer.com/article/10.1023/A:1020879817975,Development Dynamics: Economic Integration and the Demographic Transition,John Mcdermott,,,Male,,,Male,,0
7,4,https://link.springer.com/article/10.1023/A:1020831902045,Does the Mortality Decline Promote Economic Growth?,Sebnem Kalemli-Ozcan,,,Female,,,Female,,0
8,1,https://link.springer.com/article/10.1023/A:1022870216673,The United States as a Coastal Nation,Jordan Rappaport,Jeffrey D. Sachs,,Male,Male,,Male,,0
8,1,https://link.springer.com/article/10.1023/A:1022860800744,The Urbanization Process and Economic Growth: The So-What Question,Vernon Henderson,,,Male,,,Male,,0
8,1,https://link.springer.com/article/10.1023/A:1022812917582,The Productivity of US States since 1880,Kris James Mitchener,Ian W. McLean,,,Male,,Male,,0
8,1,https://link.springer.com/article/10.1023/A:1022864901652,Industry and the Family: Two Engines of Growth,Michelle Connolly,Pietro F. Peretto,,Female,Male,,Mix,,0
8,2,https://link.springer.com/article/10.1023/A:1024471506938,Fractionalization,Alberto Alesina,Arnaud Devleeschauwer,Romain Wacziarg,Male,Male,Male,Male,,0
8,2,https://link.springer.com/article/10.1023/A:1024419522867,Ethnic and Cultural Diversity by Country*,James D. Fearon,,,Male,,,Male,,0
8,2,https://link.springer.com/article/10.1023/A:1024464506029,Dual Financial Systems and Inequalities in Economic Development,Thierry Tressel,,,Male,,,Male,,0
8,3,https://link.springer.com/article/10.1023/A:1026205114860,Inequality and Growth: What Can the Data Say?,Abhijit V. Banerjee,Esther Duflo,,Male,Female,,Mix,,0
8,3,https://link.springer.com/article/10.1023/A:1026236431698,Cross-Country Productivity Comparisons: The “Revealed Superiority” Approach,Ziv Bar-Shira,Israel Finkelshtain,Avi Simhon,Male,Male,Male,Male,,0
8,3,https://link.springer.com/article/10.1023/A:1026288415768,Fiscal Policy and Long-run Growth in R&D-based Models with Endogenous Market Structure,Pietro F. Peretto,,,Male,,,Male,,0
8,4,https://link.springer.com/article/10.1023/A:1026294316581,Geography and Poverty Traps,David E. Bloom,David Canning,Jaypee Sevilla,Male,Male,Male,Male,,0
8,4,https://link.springer.com/article/10.1023/A:1026204900651,Distribution Dynamics and Nonlinear Growth,Davide Fiaschi,Andrea Mario Lavezzi,,Male,Female,,Mix,,0
8,4,https://link.springer.com/article/10.1023/A:1026256917489,Gender Equality and Long-Run Growth,Nils-Petter Lagerlöf,,,Male,,,Male,,0
9,1,https://link.springer.com/article/10.1023/B:JOEG.0000023015.44856.a9,Why did the Tariff–Growth Correlation Change after 1950?,Michael A. Clemens,Jeffrey G. Williamson,,Male,Male,,Male,,0
9,1,https://link.springer.com/article/10.1023/B:JOEG.0000023016.26449.eb,"Habit Formation, Catching Up with the Joneses, and Economic Growth",Francisco Alvarez-Cuadrado,Goncalo Monteiro,Stephen J. Turnovsky,Male,Male,Male,Male,,0
9,1,https://link.springer.com/article/10.1023/B:JOEG.0000023017.42109.c2,Patents in a Model of Endogenous Growth,Ted O'Donoghue,Josef Zweimüller,,Male,Male,,Male,,0
9,2,https://link.springer.com/article/10.1023/B:JOEG.0000031425.72248.85,Institutions Rule: The Primacy of Institutions Over Geography and Integration in Economic Development,Dani Rodrik,Arvind Subramanian,Francesco Trebbi,Male,Male,Male,Male,,0
9,2,https://link.springer.com/article/10.1023/B:JOEG.0000031426.09886.bd,Skill-Specific rather than General Education: A Reason for US–Europe Growth Differences?,Dirk Krueger,Krishna B. Kumar,,Male,,,Male,,0
9,2,https://link.springer.com/article/10.1023/B:JOEG.0000031427.20051.38,Exploitation of Child Labor and the Dynamics of Debt Bondage,Arnab K. Basu,Nancy H. Chau,,Male,Female,,Mix,,0
9,2,https://link.springer.com/article/10.1023/B:JOEG.0000031428.35711.fc,Venture Capital Backed Growth,Christian Keuschnigg,,,Male,,,Male,,0
9,3,https://link.springer.com/article/10.1023/B:JOEG.0000038933.16398.ed,Do Institutions Cause Growth?,Edward L. Glaeser,Rafael La Porta,Andrei Shleifer,Male,Male,Male,Male,,0
9,3,https://link.springer.com/article/10.1023/B:JOEG.0000038934.67250.b3,Coping with Technological Change: The Role of Ability in Making Inequality so Persistent,Yona Rubinstein,Daniel Tsiddon,,,Male,,Male,,0
9,3,https://link.springer.com/article/10.1023/B:JOEG.0000038935.84627.e4,Accounting for Fertility Decline During the Transition to Growth,Matthias Doepke,,,Male,,,Male,,0
9,4,https://link.springer.com/article/10.1007/s10887-004-4541-6,R&D: A Small Contribution to Productivity Growth,Diego Comin,,,Male,,,Male,,0
9,4,https://link.springer.com/article/10.1007/s10887-004-4542-5,Wealth Breeds Decline: Reversals of Leadership and Consumption Habits,Lionel Artige,Carmen Camacho,David De La Croix,Male,Female,Male,Mix,,0
9,4,https://link.springer.com/article/10.1007/s10887-004-4543-4,Diffusion and Innovation of New Technologies under Skill Heterogeneity,Toshihiko Mukoyama,,,Male,,,Male,,0
10,1,https://link.springer.com/article/10.1007/s10887-005-1111-5,"From Malthus to Ohlin: Trade, Industrialisation and Distribution Since 1500",Kevin H. O’rourke,Jeffrey G. Williamson,,Male,Male,,Male,,0
10,1,https://link.springer.com/article/10.1007/s10887-005-1112-4,Technological Opportunity and Growth,Ola Olsson,,,Male,,,Male,,0
10,1,https://link.springer.com/article/10.1007/s10887-005-1113-3,Nonlinearities in Capital–Skill Complementarity,Chris Papageorgiou,Viera Chmelarova,,,Female,,Female,,0
10,2,https://link.springer.com/article/10.1007/s10887-005-1668-z,New Goods and the Transition to a New Economy,Jeremy Greenwood,Gokce Uysal,,Male,Female,,Mix,,0
10,2,https://link.springer.com/article/10.1007/s10887-005-1669-y,"Gradual Product Replacement, Intangible-Asset 
Prices and Schumpeterian Growth",Elias Dinopoulos,Douglas Waldo,,Male,Male,,Male,,0
10,2,https://link.springer.com/article/10.1007/s10887-005-1670-5,"Mortality, Human Capital and Persistent Inequality",Shankha Chakraborty,Mausumi Das,,Male,Female,,Mix,,0
10,3,https://link.springer.com/article/10.1007/s10887-005-3533-5,"SMEs, Growth, and Poverty: Cross-Country Evidence",Thorsten Beck,Asli Demirguc-Kunt,Ross Levine,Male,Female,Male,Mix,,0
10,3,https://link.springer.com/article/10.1007/s10887-005-3534-4,Institutions and Development: The Interaction Between Trade Regime and Political System,Josef Falkinger,Volker Grossmann,,Male,Male,,Male,,0
10,3,https://link.springer.com/article/10.1007/s10887-005-3535-3,Does the Profile of Income Inequality Matter for Economic Growth?,Sarah Voitchovsky,,,Female,,,Female,,0
10,4,https://link.springer.com/article/10.1007/s10887-005-4712-0,Growth Accelerations,Ricardo Hausmann,Lant Pritchett,Dani Rodrik,Male,Male,Male,Male,,0
10,4,https://link.springer.com/article/10.1007/s10887-005-4719-6,Borders and Growth,Enrico Spolaore,Romain Wacziarg,,Male,Male,,Male,,0
10,4,https://link.springer.com/article/10.1007/s10887-005-4735-6,The Sun Also Rises: Productivity Convergence Between Japan and the USA,Gavin Cameron,,,Male,,,Male,,0
10,4,https://link.springer.com/article/10.1007/s10887-005-6003-1,Journal of Economic Growth,,,,,,,Unknown,,0
11,1,https://link.springer.com/article/10.1007/s10887-006-7404-5,"Rich Nations, Poor Nations: How Much Can Multiple Equilibria Explain?",Bryan S. Graham,Jonathan R. W. Temple,,Male,Male,,Male,,0
11,1,https://link.springer.com/article/10.1007/s10887-006-7405-4,The Law of Primogeniture and the Transition from Landed Aristocracy to Industrial Democracy,Graziella Bertocchi,,,Female,,,Female,,0
11,1,https://link.springer.com/article/10.1007/s10887-006-7407-2,"Intelligence, Human Capital, and Economic Growth: A Bayesian Averaging of Classical Estimates (BACE) Approach",Garett Jones,W. Joel Schneider,,Male,Male,,Male,,0
11,2,https://link.springer.com/article/10.1007/s10887-006-9002-y,"Growth, distance to frontier and composition of human capital",Jérôme Vandenbussche,Philippe Aghion,Costas Meghir,Male,Male,Male,Male,,0
11,2,https://link.springer.com/article/10.1007/s10887-006-9001-z,"Development, democracy, and mass killings",William Easterly,Roberta Gatti,Sergio Kurlat,Male,Female,Male,Mix,,0
11,2,https://link.springer.com/article/10.1007/s10887-006-9000-0,Institution building and growth in transition economies,Thorsten Beck,Luc Laeven,,Male,Male,,Male,,0
11,3,https://link.springer.com/article/10.1007/s10887-006-9003-x,Dualism and cross-country growth regressions,Jonathan Temple,Ludger Wößmann,,Male,Male,,Male,,0
11,3,https://link.springer.com/article/10.1007/s10887-006-9005-8,Fertility and development: the roles of schooling and family production,William Lord,Peter Rangazas,,Male,Male,,Male,,0
11,3,https://link.springer.com/article/10.1007/s10887-006-9004-9,Scale effects in endogenous growth theory: an error of aggregation not specification,Christopher A. Laincz,Pietro F. Peretto,,Male,Male,,Male,,0
11,4,https://link.springer.com/article/10.1007/s10887-006-9006-7,"Reliving the 1950s: the big push, poverty traps, and takeoffs in economic development",William Easterly,,,Male,,,Male,,0
11,4,https://link.springer.com/article/10.1007/s10887-006-9007-6,"Why England? Demographic factors, structural change and physical capital accumulation during the Industrial Revolution",Nico Voigtländer,Hans-Joachim Voth,,Male,Male,,Male,,0
11,4,https://link.springer.com/article/10.1007/s10887-006-9008-5,Does longevity cause growth? A theoretical critique,Moshe Hazan,Hosny Zoabi,,Male,Male,,Male,,0
12,1,https://link.springer.com/article/10.1007/s10887-006-9009-4,What you export matters,Ricardo Hausmann,Jason Hwang,Dani Rodrik,Male,Male,Male,Male,,0
12,1,https://link.springer.com/article/10.1007/s10887-007-9010-6,"Finance, inequality and the poor",Thorsten Beck,Asli Demirgüç-Kunt,Ross Levine,Male,Female,Male,Mix,,0
12,1,https://link.springer.com/article/10.1007/s10887-007-9011-5,"Growth and human capital: good data, good results",Daniel Cohen,Marcelo Soto,,Male,Male,,Male,,0
12,2,https://link.springer.com/article/10.1007/s10887-007-9015-1,Why does democracy need education?,Edward L. Glaeser,Giacomo A. M. Ponzetto,Andrei Shleifer,Male,Male,Male,Male,,0
12,2,https://link.springer.com/article/10.1007/s10887-007-9016-0,Education and income of the states of the United States: 1840–2000,Chad Turner,Robert Tamura,Scott Baier,Male,Male,Male,Male,,0
12,2,https://link.springer.com/article/10.1007/s10887-007-9013-3,Conditional convergence and the dynamics of the capital-output ratio,Kieran McQuinn,Karl Whelan,,Male,Male,,Male,,0
12,3,https://link.springer.com/article/10.1007/s10887-007-9017-z,The modern impact of precolonial centralization in Africa,Nicola Gennaioli,Ilia Rainer,,Female,Male,,Mix,,0
